id;edge;lane;pos;freq;road type
A17_a;2533506;0;350;60;a
A17_a;2533506;1;350;60;a
A17_b;148685121;0;-15;60;a
A17_b;148685121;1;-15;60;a
A17_c;315618576;0;410;60;a
A17_c;315618576;1;410;60;a
